datetime,source,direction,amount,counterparty,description,original_category
2026-07-03 08:32,微信,支出,18.00,晨光咖啡,冰拿铁,餐饮
2026-07-05 12:14,支付宝,支出,31.50,城市食堂,午餐,餐饮
2026-07-09 19:20,微信,支出,126.00,江边小馆,朋友聚餐,餐饮
2026-07-12 09:02,支付宝,支出,12.00,城市地铁,通勤,交通
2026-07-18 20:40,支付宝,支出,189.00,青禾商城,日用品,购物
2026-07-25 09:00,银行卡,收入,6000.00,示例公司,月度工资,收入
2026-08-02 08:31,微信,支出,20.00,晨光咖啡,燕麦拿铁,餐饮
2026-08-03 12:05,支付宝,支出,36.00,即时配送平台,午餐外卖,餐饮
2026-08-05 20:10,支付宝,支出,299.00,青禾商城,通勤背包,购物
2026-08-05 20:11,银行卡,支出,299.00,支付宝快捷支付,青禾商城订单,购物
2026-08-08 09:12,支付宝,支出,12.00,城市地铁,通勤,交通
2026-08-10 19:45,微信,支出,300.00,山海餐厅,朋友聚餐垫付,餐饮
2026-08-10 21:02,微信,收入,200.00,朋友A,聚餐AA返还,转账
2026-08-12 22:14,支付宝,支出,45.00,流光视频,月度会员,会员订阅
2026-08-14 18:30,微信,支出,23.00,街角便利店,晚餐,餐饮
2026-08-18 21:30,支付宝,支出,520.00,星云数码,无线耳机,购物
2026-08-22 15:20,微信,支出,28.00,茶屿,水果茶,餐饮
2026-08-25 09:00,银行卡,收入,6000.00,示例公司,月度工资,收入
